rgn_id,year,msy
1,2000,39103.329037220385
1,2001,39103.329037220385
1,2002,39103.329037220385
1,2003,39103.329037220385
1,2004,39103.329037220385
1,2005,39103.329037220385
1,2006,39103.329037220385
1,2007,39103.329037220385
1,2008,39103.329037220385
1,2009,39103.329037220385
1,2010,39103.329037220385
1,2011,39103.329037220385
1,2012,39103.329037220385
1,2013,39103.329037220385
1,2014,39103.329037220385
1,2015,39103.329037220385
1,2016,39103.329037220385
2,2000,39103.329037220385
2,2001,39103.329037220385
2,2002,39103.329037220385
2,2003,39103.329037220385
2,2004,39103.329037220385
2,2005,39103.329037220385
2,2006,39103.329037220385
2,2007,39103.329037220385
2,2008,39103.329037220385
2,2009,39103.329037220385
2,2010,39103.329037220385
2,2011,39103.329037220385
2,2012,39103.329037220385
2,2013,39103.329037220385
2,2014,39103.329037220385
2,2015,39103.329037220385
2,2016,39103.329037220385
3,2000,39103.329037220385
3,2001,39103.329037220385
3,2002,39103.329037220385
3,2003,39103.329037220385
3,2004,39103.329037220385
3,2005,39103.329037220385
3,2006,39103.329037220385
3,2007,39103.329037220385
3,2008,39103.329037220385
3,2009,39103.329037220385
3,2010,39103.329037220385
3,2011,39103.329037220385
3,2012,39103.329037220385
3,2013,39103.329037220385
3,2014,39103.329037220385
3,2015,39103.329037220385
3,2016,39103.329037220385
4,2000,39103.329037220385
4,2001,39103.329037220385
4,2002,39103.329037220385
4,2003,39103.329037220385
4,2004,39103.329037220385
4,2005,39103.329037220385
4,2006,39103.329037220385
4,2007,39103.329037220385
4,2008,39103.329037220385
4,2009,39103.329037220385
4,2010,39103.329037220385
4,2011,39103.329037220385
4,2012,39103.329037220385
4,2013,39103.329037220385
4,2014,39103.329037220385
4,2015,39103.329037220385
4,2016,39103.329037220385
5,2000,39103.329037220385
5,2001,39103.329037220385
5,2002,39103.329037220385
5,2003,39103.329037220385
5,2004,39103.329037220385
5,2005,39103.329037220385
5,2006,39103.329037220385
5,2007,39103.329037220385
5,2008,39103.329037220385
5,2009,39103.329037220385
5,2010,39103.329037220385
5,2011,39103.329037220385
5,2012,39103.329037220385
5,2013,39103.329037220385
5,2014,39103.329037220385
5,2015,39103.329037220385
5,2016,39103.329037220385
6,2000,39103.329037220385
6,2001,39103.329037220385
6,2002,39103.329037220385
6,2003,39103.329037220385
6,2004,39103.329037220385
6,2005,39103.329037220385
6,2006,39103.329037220385
6,2007,39103.329037220385
6,2008,39103.329037220385
6,2009,39103.329037220385
6,2010,39103.329037220385
6,2011,39103.329037220385
6,2012,39103.329037220385
6,2013,39103.329037220385
6,2014,39103.329037220385
6,2015,39103.329037220385
6,2016,39103.329037220385
7,2000,39103.329037220385
7,2001,39103.329037220385
7,2002,39103.329037220385
7,2003,39103.329037220385
7,2004,39103.329037220385
7,2005,39103.329037220385
7,2006,39103.329037220385
7,2007,39103.329037220385
7,2008,39103.329037220385
7,2009,39103.329037220385
7,2010,39103.329037220385
7,2011,39103.329037220385
7,2012,39103.329037220385
7,2013,39103.329037220385
7,2014,39103.329037220385
7,2015,39103.329037220385
7,2016,39103.329037220385
8,2000,39103.329037220385
8,2001,39103.329037220385
8,2002,39103.329037220385
8,2003,39103.329037220385
8,2004,39103.329037220385
8,2005,39103.329037220385
8,2006,39103.329037220385
8,2007,39103.329037220385
8,2008,39103.329037220385
8,2009,39103.329037220385
8,2010,39103.329037220385
8,2011,39103.329037220385
8,2012,39103.329037220385
8,2013,39103.329037220385
8,2014,39103.329037220385
8,2015,39103.329037220385
8,2016,39103.329037220385
